date,time,lat,long
11/13/2016,22:20:00,40.694519657,-73.971130558
05/21/2016,18:20:00,40.676736870999996,-73.859835019
10/23/2016,18:10:00,40.7522284,-73.97192485800001
01/12/2016,20:40:00,40.860514534,-73.92978787
11/04/2016,06:00:00,40.640881451,-74.080364905
12/25/2016,01:30:00,40.704777191,-73.803356175
09/20/2016,17:02:00,40.787874599,-73.928181646
05/26/2016,18:00:00,40.723248054,-73.75534422300001
02/22/2016,02:00:00,40.81725838,-73.94040458100001
08/16/2016,21:15:00,40.6943809,-73.976518204
07/31/2016,01:55:00,40.735100713,-73.918885672
05/01/2016,22:15:00,40.834561942,-73.91544338
11/04/2016,23:50:00,40.856121627,-73.892378083
08/01/2016,00:32:00,40.851357448,-73.92017892300001
11/02/2016,11:00:00,40.747595854000004,-73.899316727
04/14/2016,11:00:00,40.699797262,-73.981669902
11/19/2016,03:30:00,40.816980584,-73.921152255
02/20/2016,05:00:00,40.877221709000004,-73.849598375
09/10/2016,21:00:00,40.704528935,-73.85859719300001
05/06/2016,21:00:00,40.636309901,-73.921463005
07/23/2016,11:00:00,40.747496506,-73.861750511
10/03/2016,02:00:00,40.827996836,-73.864033139
11/15/2016,23:00:00,40.729028172,-73.97717348100001
11/11/2016,01:20:00,40.823155596,-73.91639367399999
02/13/2016,15:00:00,40.720199996,-73.988735082
07/27/2016,01:00:00,40.707422396,-73.90774531
12/23/2016,20:50:00,40.668895086999996,-73.89311635600001
09/14/2016,22:00:00,40.834209383,-73.851686775
11/05/2016,05:00:00,40.82751736,-73.877013336
12/21/2016,22:00:00,40.665428541,-73.916465208
12/22/2016,17:00:00,40.640030316,-73.908288883
07/13/2016,20:00:00,40.591972806,-73.79606223
02/26/2016,13:35:00,40.825800379,-73.86345589
12/04/2016,03:30:00,40.772163349,-73.95437371
05/01/2016,01:00:00,40.879072764,-73.901569396
06/21/2016,11:30:00,40.646115230999996,-73.94715192
11/27/2016,11:30:00,40.81941706,-73.912388023
02/06/2016,15:44:00,40.666229308,-73.889577277
09/05/2016,06:00:00,40.645849688,-73.881697655
02/05/2016,11:15:00,40.673793035,-73.94038136100001
07/28/2016,09:00:00,40.644410541999996,-73.982445443
09/25/2016,01:05:00,40.680404582,-73.909899053
05/19/2016,02:00:00,40.754976662,-73.867015588
07/26/2016,22:00:00,40.786731898,-73.941132468
07/24/2016,12:00:00,40.790746414000004,-73.950634042
08/11/2016,02:00:00,40.871211121,-73.85410634
04/02/2016,16:15:00,40.723453968,-73.885672707
06/20/2016,09:30:00,40.673894635,-73.877880637
05/14/2016,22:30:00,40.703964869,-73.963152126
07/18/2016,14:00:00,40.766539916999996,-73.992301201
06/28/2016,22:15:00,40.732340964,-73.737659434
07/10/2016,21:30:00,40.586231405,-73.816011121
06/12/2016,18:00:00,40.615491223,-74.08165623
03/07/2016,04:50:00,40.647820052,-73.96180654300001
09/09/2016,16:55:00,40.660481724,-73.881296857
09/11/2016,09:30:00,40.719183058,-73.814060412
08/30/2016,21:40:00,40.65774823,-73.889886858
11/01/2016,18:45:00,40.868559264,-73.853728904
02/29/2016,22:00:00,40.699916043,-73.770641899
11/08/2016,00:04:00,40.73393308,-73.977326958
09/11/2016,02:48:00,40.680048726,-73.775909194
07/23/2016,23:00:00,40.681805511,-73.98308819
08/22/2016,14:00:00,40.598821628,-73.756826427
10/26/2016,10:30:00,40.600792943,-73.981704281
07/16/2016,06:00:00,40.644695114,-73.925416947
09/28/2016,20:40:00,40.667036148,-73.908168844
01/03/2016,01:50:00,40.764908761,-73.947378951
08/25/2016,02:00:00,40.842803108000005,-73.897076401
05/16/2016,21:20:00,40.684792115,-73.878556569
06/11/2016,02:15:00,40.684695792,-73.781698652
09/10/2016,20:50:00,40.835052396,-73.940442849
10/07/2016,10:40:00,40.644754824,-74.087241385
08/03/2016,22:55:00,40.751378838,-73.853870704
06/04/2016,22:30:00,40.644312436,-73.987926306
11/16/2016,01:50:00,40.689891109,-73.979970637
05/31/2016,22:15:00,40.638568228000004,-74.000992304
11/18/2016,07:30:00,40.63750259,-74.084237746
05/13/2016,08:30:00,40.650158058,-73.952918335
09/10/2016,05:30:00,40.592117026,-73.98436031899999
01/03/2016,22:20:00,40.615091899,-74.005688787
07/27/2016,15:30:00,40.88367976,-73.833450905
08/29/2016,22:00:00,40.623341909000004,-74.09518171100001
10/15/2016,18:00:00,40.753532458,-73.706596761
08/13/2016,08:30:00,40.758109554,-73.907426048
05/29/2016,08:00:00,40.709996719,-73.897685443
11/17/2016,22:10:00,40.812128916,-73.85889602
12/14/2016,09:30:00,40.907854945,-73.906577126
12/21/2016,17:00:00,40.799271863,-73.930036667
06/30/2016,08:10:00,40.817108446999995,-73.90507152800001
